"""Datetime""","""Tweet ID""","""Text""","""Username""",Score
2020-01-21 08:36:16+00:00,1.22E+18,Just posted a photo @ Nexus@one-north ,Thamizhan74,0.4019
2020-01-21 08:27:36+00:00,1.22E+18,Just posted a photo @ Nexus@one-north ,Thamizhan74,0.4019
2020-01-21 08:27:28+00:00,1.22E+18,Just posted a photo @ Nexus@one-north ,Thamizhan74,0.4019
2020-01-21 08:27:20+00:00,1.22E+18,Just posted a photo @ Nexus@one-north ,Thamizhan74,0.4019
2020-01-20 08:56:00+00:00,1.22E+18,Just posted a photo @ Nexus@one-north,Thamizhan74,0.4019
2020-01-18 08:08:27+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north -,KayleenGnwmythr,0.4084
2020-01-18 07:14:01+00:00,1.22E+18,#Singapore 's #first #shipping #container #hotel springs up in one-north ,najeebarqureshi,0.4199
2020-01-18 05:00:54+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north #LetsTalkCity #Business #Hotels #ShippingContainer #Singapore #SoutheastAsia Via ,LetsTalkSG,0.4199
2020-01-18 03:53:33+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north NEWPAPER24 ,newpaper24,0.4199
2020-01-18 02:25:29+00:00,1.22E+18,What a great idea! Singapore's first shipping container hotel springs up in one-north ,cmclarke11,0.4215
2020-01-17 16:15:16+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north,activeredsg,0.4215
2020-01-17 12:39:32+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north,italiasingapore,0.4215
2020-01-17 12:20:17+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north - CNA ,rahah_ghazali,0.4215
2020-01-17 12:13:35+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north ,AndyVermaut,0.4215
2020-01-17 12:13:34+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north,ChannelNewsAsia,0.4215
2020-01-17 01:32:38+00:00,1.22E+18,"The Panel Discussion, jointly organised with LeidenAsiaCentre, on Global Pespectives on China's Recalibrations of Belt and Road Initiative - Lessons Learnt, Challenges and Opportunities is happening now at NTU one-north Function Hall 3! #eucentresg",EUCentreSg,0.4215
2020-01-16 01:40:59+00:00,1.22E+18,"The conference on Global Perspectives on China's Recalibrations of Belt and Road Initiative, organised together with LeidenAsiaCentre, is happening now at NTU@one-north LT 301! Looking forward to hear from the LeidenAsiaCentre researchers about their findings and research on BRI ",EUCentreSg,0.4215
2020-01-15 05:46:00+00:00,1.22E+18,Hear from three start-ups that have benefited from @jtccorp's Launchpad @ one-north. ,SingaporeMCI,0.4215
2020-01-08 13:51:49+00:00,1.21E+18,@minliangtan Razer's new HQ at one-north is located at an excellent site in Singapore's very own Silicon Valley! Wonderful that you are advancing our tech industry and placing us on the global stage!,GraceLife5,0.4215
2020-01-08 09:00:40+00:00,1.21E+18,Buona Vista: Metropolis one-north: Fusionopolis Cantonment Complex: Hellopolis,derongwords,0.4215
2020-01-07 01:47:32+00:00,1.21E+18,[Notice-LTA] Accident on One-north Link (towards Slim Barracks Rise) after Biopolis Road. Avoid right lane #SG_Alerts (09:46),SG_Alerts,0.4235
